name,gps,datetime,no2,o3_1hr,o3_4hr,o3_8hr,co,pm10_1_hr,pm2_5_1_hr,pm10,pm2_5,aqi_co,aqi_no2,aqi_o3_1hr,aqi_o3_4hr,aqi_o3_8hr,aqi_pm10,aqi_pm2_5,AQI_Site,date,time
Civic,"(-35.285307, 149.131579)",04/10/2023 18:00,,0.024,0.024,0.023,0,8.14,7.93,14.71,6.45,0,0,24,30,36,29,25,30,04-Oct-23,18:00:00
Monash,"(-35.418302, 149.094018)",04/10/2023 18:00,0.003,0.031,0.03,0.025,0,1.54,2.36,15.25,6.43,0,3,31,37,39,30,25,37,04-Oct-23,18:00:00
Florey,"(-35.220606, 149.043539)",04/10/2023 18:00,0.001,0.031,0.032,0.029,0.14,5.57,8.02,16.03,6.27,1,1,31,40,45,32,25,45,04-Oct-23,18:00:00
Monash,"(-35.418302, 149.094018)",04/10/2023 17:00,0.005,0.029,0.027,0.025,0,2.65,4.29,16.2,6.4,0,4,29,34,38,32,25,34,04-Oct-23,17:00:00
Florey,"(-35.220606, 149.043539)",04/10/2023 17:00,0.003,0.031,0.03,0.029,0.14,6.81,8.59,16.72,6.26,1,2,31,38,46,33,25,46,04-Oct-23,17:00:00
Civic,"(-35.285307, 149.131579)",04/10/2023 17:00,,0.022,0.024,0.024,0,6.19,7.35,14.84,6.44,0,0,22,30,37,29,25,30,04-Oct-23,17:00:00
Florey,"(-35.220606, 149.043539)",04/10/2023 16:00,,,,0.029,,9.73,6.39,17.37,6.17,,,,,,34,24,34,04-Oct-23,16:00:00
Civic,"(-35.285307, 149.131579)",04/10/2023 16:00,,,,0.023,,5.53,5.14,15.64,6.24,,,,,,31,24,31,04-Oct-23,16:00:00
Monash,"(-35.418302, 149.094018)",04/10/2023 16:00,,,,0.024,,6.2,6.85,17.04,6.45,,,,,,34,25,,04-Oct-23,16:00:00
Florey,"(-35.220606, 149.043539)",04/10/2023 15:00,0.001,0.033,0.03,0.026,0.16,10.7,0.61,17.88,6.22,1,1,33,38,40,35,24,40,04-Oct-23,15:00:00
Civic,"(-35.285307, 149.131579)",04/10/2023 15:00,,0.026,0.025,0.022,0,6.55,2.47,17.26,6.22,0,0,26,31,34,34,24,34,04-Oct-23,15:00:00
Monash,"(-35.418302, 149.094018)",04/10/2023 15:00,0.003,0.029,0.024,0.023,0,8.63,6.62,17.91,6.35,0,2,29,30,36,35,25,35,04-Oct-23,15:00:00
Florey,"(-35.220606, 149.043539)",04/10/2023 14:00,0.003,0.026,0.028,0.023,0.18,12.83,5.28,18.36,6.77,2,2,26,35,36,36,27,36,04-Oct-23,14:00:00
Monash,"(-35.418302, 149.094018)",04/10/2023 14:00,0.003,0.024,0.022,0.022,0,14.41,6.79,18.19,6.36,0,3,24,27,35,36,25,36,04-Oct-23,14:00:00
